flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,airline_code,departure_airport_code,arrival_airport_code,flight_date,flight_time,flight_distance,passenger_capacity,ticket_price,flight_status,gate_number
QR6945,Qatar Airways,Hamad International,Giemdiem,Vietnam,8:19 PM,Adolfo Suárez Madrid–Barajas,Siedliska,Poland,6,QR,WAC,LMZ,6/10/2022,11:40 PM,801.89,231,474.08,On Time,C1
QR3056,Qatar Airways,Hamad International,Lucerna,Honduras,1:54 PM,Bole International,Buenos Aires,Honduras,14,QR,SPY,LOK,9/26/2022,1:42 AM,4598.01,248,469.77,Delayed,B1
LH4905,Lufthansa,Frankfurt Airport,Ketapang,Indonesia,6:13 AM,Munich Airport,Untolovo,Russia,22,LH,TSD,WTS,11/8/2022,3:06 PM,6668.98,113,251.38,Delayed,B1
TG6855,Thai Airways,Suvarnabhumi,Jarabacoa,Dominican Republic,4:01 AM,Changi,Mangqu,China,15,TG,QOJ,FNR,7/3/2022,3:41 PM,9734.56,83,57.17,On Time,C1
UA3491,United Airlines,Los Angeles International,Manuel Cavazos Lerma,Mexico,8:28 PM,San Francisco International,Tabwakea Village,Kiribati,17,UA,WME,UAM,12/30/2022,11:28 AM,4124.99,138,164.1,On Time,B2
AC7423,Air Canada,Toronto Pearson,Mikulovice,Czech Republic,3:06 PM,John F. Kennedy International,Ochojno,Poland,10,AC,FLY,KOV,10/21/2022,4:38 AM,3975.22,457,263.53,Cancelled,B1
QR5361,Qatar Airways,Hamad International,Kulunda,Russia,12:19 AM,Jomo Kenyatta International,Dongdu,China,6,QR,LVO,MCO,8/24/2022,8:35 PM,6140.33,147,465.93,On Time,C1
LA4064,LATAM Airlines,São Paulo/Guarulhos International,Cran-Gevrier,France,5:33 AM,Ministro Pistarini International,Saint-Dizier,France,20,LA,SXT,QGQ,9/7/2022,2:08 PM,4909.11,246,294.22,Delayed,B2
AF1560,Air France,Charles de Gaulle,San Pablo,Costa Rica,3:21 AM,Frankfurt Airport,Yelan’,Russia,13,AF,CJJ,WDH,10/6/2022,8:20 AM,3932.29,348,74.39,Delayed,C4
WN6726,Southwest Airlines,Los Angeles International,Quinta,Portugal,11:15 AM,San Francisco International,Farmahīn,Iran,15,WN,MCZ,MRD,3/29/2022,6:48 AM,7747.44,394,90.84,Cancelled,A2
UA4283,United Airlines,Los Angeles International,Gamay,Philippines,10:46 AM,San Francisco International,Yunyang,China,10,UA,OLJ,RNI,4/8/2022,9:22 AM,5835.81,350,215.54,On Time,C3
IB9753,Iberia,Adolfo Suárez Madrid–Barajas,Manaoag,Philippines,5:07 PM,Heathrow,Chão,Portugal,23,IB,SPQ,YLC,4/13/2022,1:47 PM,851.6,190,315.77,On Time,A1
NZ5489,Air New Zealand,Auckland Airport,Changping,China,7:21 PM,Sydney Airport,Sosnogorsk,Russia,13,NZ,-,HKD,4/8/2022,1:15 AM,7492.12,492,72.43,On Time,B2
KE4629,Korean Air,Incheon International,Hŭngnam,North Korea,6:59 AM,Ministro Pistarini International,Kota Ternate,Indonesia,15,KE,BGB,KRI,6/29/2022,1:36 PM,907.3,439,221.92,Cancelled,A2
AI5999,Air India,Indira Gandhi International,Broby,Finland,10:59 AM,Chhatrapati Shivaji International,Serowe,Botswana,10,AI,RAX,KED,8/19/2022,6:02 AM,8233.69,181,424.09,On Time,B2
IB4996,Iberia,Adolfo Suárez Madrid–Barajas,Dudchany,Ukraine,1:06 AM,Charles de Gaulle,Mugango,Tanzania,12,IB,NLG,SWQ,12/3/2022,1:37 PM,4212.05,84,248.62,Delayed,A2
LH4249,Lufthansa,Frankfurt Airport,Sop Pong,Thailand,12:23 AM,Charles de Gaulle,Digah,Azerbaijan,14,LH,SLL,AMC,6/12/2022,11:38 AM,9008.81,435,484.01,On Time,C4
AM7137,Aeroméxico,Benito Juárez International,Igang,Philippines,12:43 AM,Chhatrapati Shivaji International,Portela,Portugal,3,AM,POW,SGD,8/17/2022,3:15 AM,532.47,474,156.47,On Time,A1
UA2052,United Airlines,Los Angeles International,Zhangjiahe,China,3:10 PM,San Francisco International,Mnich,Poland,24,UA,TYN,SRY,11/4/2022,1:07 PM,485.87,70,394.68,Cancelled,C1
EK7739,Emirates,Dubai International,Shuibatang,China,7:30 AM,Hamad International,Tunguang,China,15,EK,OSC,RKP,8/28/2022,4:08 PM,7989.82,115,348.78,Delayed,B1
CX3529,Cathay Pacific,Hong Kong International,Dzüünharaa,Mongolia,7:43 AM,Changi,Cluain Meala,Ireland,13,CX,YCR,ZWA,6/22/2022,12:53 PM,162.47,392,116.13,On Time,C2
KL3432,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Vapnyarka,Ukraine,3:57 PM,Beijing Capital International,Frederiksberg,Denmark,9,KL,0,SPQ,8/22/2022,4:07 AM,607.37,213,426.28,On Time,C2
DL1739,Delta Air Lines,John F. Kennedy International,Villanueva,Colombia,10:05 AM,Hamad International,Posedarje,Croatia,6,DL,CSF,YIE,12/25/2022,12:45 PM,4585.63,321,152.8,On Time,A2
EK9373,Emirates,Dubai International,Chongjin,North Korea,12:40 AM,Hamad International,Kuching,Malaysia,15,EK,BBM,CLG,7/11/2022,9:00 AM,616.39,77,280.42,On Time,C1
DL2266,Delta Air Lines,John F. Kennedy International,Padaan,Indonesia,11:41 AM,Hartsfield-Jackson Atlanta,Capissayan Sur,Philippines,3,DL,ZEM,TEL,3/21/2022,3:46 PM,481.6,59,460.18,On Time,B2
BA6603,British Airways,Heathrow,Op,Indonesia,6:30 PM,Copenhagen Airport,Parral,Chile,18,BA,CTN,YAH,3/19/2022,1:32 PM,323.13,315,64.93,On Time,C2
QR1805,Qatar Airways,Hamad International,Sanqiao,China,3:34 AM,Bole International,Umeå,Sweden,14,QR,RHT,CCP,4/17/2022,4:26 PM,6372.74,465,337.62,On Time,A1
QF2814,Qantas,Sydney Airport,Likupang,Indonesia,9:40 PM,Melbourne Airport,Hengdian,China,1,QF,PYV,ONP,2/11/2022,2:06 PM,372.8,416,196.6,On Time,B1
WN5923,Southwest Airlines,Los Angeles International,Jiangjia,China,6:50 AM,San Francisco International,Tëploye,Russia,9,WN,NTG,AFW,9/22/2022,8:52 PM,9806.85,226,247.34,Cancelled,B1
AV7364,Avianca,El Dorado International,Guanyinsi,China,5:15 PM,Hartsfield-Jackson Atlanta,Staromyshastovskaya,Russia,10,AV,NVN,UCZ,7/2/2022,3:47 PM,3936.08,362,171.1,On Time,C1
AZ3705,Alitalia,Leonardo da Vinci International,Ketian,China,12:38 PM,Charles de Gaulle,Novokayakent,Russia,15,AZ,SJP,CJB,9/30/2022,2:20 PM,2388.07,57,242.1,Cancelled,C2
QR4473,Qatar Airways,Hamad International,Zaytā,Palestinian Territory,7:48 AM,Bole International,Datagon,Philippines,15,QR,RTL,TEK,2/26/2022,2:48 AM,7815.97,237,110.97,On Time,C1
QF6069,Qantas,Sydney Airport,Lëbushë,Kosovo,11:47 PM,Melbourne Airport,Kota Bharu,Malaysia,2,QF,CSA,URR,12/28/2022,3:39 PM,8448.77,448,348.36,On Time,C1
NZ9937,Air New Zealand,Auckland Airport,Gaoyao,China,12:05 PM,Vancouver International,Chupa,Russia,23,NZ,DBC,LAH,3/2/2022,5:27 PM,6473.83,493,276.5,On Time,A3
NH6266,All Nippon Airways,Haneda,Međa,Serbia,6:02 PM,Sydney Airport,Hexia,China,24,NH,PHN,JIL,4/28/2022,1:39 PM,7913.58,327,422.34,On Time,A1
QR9291,Qatar Airways,Hamad International,San Jose,United States,8:36 PM,Charles de Gaulle,Gala,Portugal,5,QR,PAP,BBQ,11/23/2022,7:04 AM,3510.51,394,354.94,On Time,B1
KL6164,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Fenghuangshan,China,6:14 PM,Charles de Gaulle,Neuville,Canada,12,KL,MET,NZC,6/11/2022,7:26 AM,993.52,364,379.87,Delayed,B2
BA2542,British Airways,Heathrow,Liuche,China,9:01 AM,Charles de Gaulle,Galle,Sri Lanka,7,BA,HAV,POB,7/12/2022,2:39 PM,9220.88,94,160.56,On Time,C4
EK9670,Emirates,Dubai International,Dukuhturi,Indonesia,8:56 PM,Los Angeles International,Pingshui,China,9,EK,PVA,GGW,1/2/2022,11:10 AM,7637.05,116,91.47,On Time,C1
LH3929,Lufthansa,Frankfurt Airport,Yuecheng,China,5:23 PM,Munich Airport,Miaoqian,China,16,LH,ROV,NAM,2/27/2022,5:23 AM,6264.09,431,193.0,Delayed,B1
TG5430,Thai Airways,Suvarnabhumi,El Rosario,Nicaragua,8:05 AM,Charles de Gaulle,Baisha,China,24,TG,HTR,YNE,4/3/2022,6:29 PM,2957.09,143,216.14,On Time,A1
AV3789,Avianca,El Dorado International,Bondokodi,Indonesia,10:41 PM,O'Hare International,Yushu,China,1,AV,OBD,ONI,7/22/2022,8:06 AM,3834.97,159,289.88,On Time,A3
QR9095,Qatar Airways,Hamad International,Trollhättan,Sweden,12:30 PM,Charles de Gaulle,Tabor,Slovenia,16,QR,VIR,FKQ,3/14/2022,5:34 PM,6876.69,83,442.78,On Time,C3
SQ9772,Singapore Airlines,Changi,Lucun,China,1:47 AM,Munich Airport,Auray,France,16,SQ,HLZ,UPR,9/18/2022,10:09 PM,8249.56,183,414.73,On Time,C2
UA2884,United Airlines,Los Angeles International,Wschowa,Poland,11:25 AM,Seattle-Tacoma International,Mesa,United States,23,UA,WDN,BCP,6/9/2022,7:05 PM,8560.11,413,469.96,On Time,C4
AI4444,Air India,Indira Gandhi International,Baitu,China,3:03 AM,Chhatrapati Shivaji International,Itapaci,Brazil,7,AI,MRB,YHF,6/16/2022,7:22 AM,3447.55,391,352.19,Delayed,C2
BA9018,British Airways,Heathrow,Picos,Brazil,1:35 PM,Charles de Gaulle,El Dividive,Venezuela,12,BA,DCI,JIL,9/28/2022,3:59 AM,3634.6,452,57.68,Delayed,A1
SQ5593,Singapore Airlines,Changi,Kantemirovka,Russia,9:42 PM,Hamad International,Yong’an,China,6,SQ,AKE,ULK,1/23/2022,2:52 AM,1463.86,65,129.72,On Time,C1
AI5732,Air India,Indira Gandhi International,Ourovéni,Comoros,7:12 AM,Chhatrapati Shivaji International,Setro,Indonesia,5,AI,CEF,OGE,1/20/2022,4:21 PM,9624.7,215,278.34,On Time,B2
AV6446,Avianca,El Dorado International,La Palma,Mexico,11:41 AM,O'Hare International,Makrýgialos,Greece,3,AV,DJJ,XMS,8/3/2022,5:38 AM,4070.06,307,226.21,On Time,C3
LA6180,LATAM Airlines,São Paulo/Guarulhos International,Housuo,China,10:17 AM,Kuala Lumpur International,Kapotnya,Russia,6,LA,QBC,BVA,1/13/2022,3:37 AM,4338.48,142,162.5,On Time,A3
BA8519,British Airways,Heathrow,Cibitung,Indonesia,10:18 PM,Chhatrapati Shivaji International,Taishihe,China,9,BA,CLN,YIE,3/10/2022,4:47 PM,1024.0,316,217.18,On Time,A1
SQ1881,Singapore Airlines,Changi,Kavallári,Greece,12:44 AM,Beijing Capital International,Melissochóri,Greece,23,SQ,ESP,STZ,4/12/2022,10:15 AM,9447.97,188,276.68,On Time,C3
SQ8152,Singapore Airlines,Changi,Anshun,China,11:54 PM,Beijing Capital International,Quillo,Peru,11,SQ,MUJ,CZL,6/24/2022,6:22 AM,2865.94,144,205.51,On Time,A3
AC8533,Air Canada,Toronto Pearson,Sandia,Peru,2:27 AM,El Dorado International,Nancheng,China,1,AC,MID,BXV,7/6/2022,10:28 PM,4007.62,491,280.63,Cancelled,C4
IB2730,Iberia,Adolfo Suárez Madrid–Barajas,Bulacan,Philippines,7:36 AM,Hamad International,Longgang,China,11,IB,ULG,YTG,1/2/2022,1:43 AM,866.94,277,415.21,On Time,B2
LH2851,Lufthansa,Frankfurt Airport,Pule,Indonesia,9:25 AM,Charles de Gaulle,Piritiba,Brazil,14,LH,BKL,TBF,9/20/2022,10:01 PM,7927.75,433,121.54,Delayed,A1
DL8854,Delta Air Lines,John F. Kennedy International,Sabirabad,Azerbaijan,4:13 PM,Miami International,Huayang,China,3,DL,ONL,YHF,7/24/2022,12:38 PM,1532.15,131,414.93,Cancelled,C1
ET5759,Ethiopian Airlines,Bole International,Estacion,Philippines,9:15 PM,Munich Airport,Wola Rębkowska,Poland,9,ET,MTK,SSU,10/9/2022,2:24 AM,705.59,379,108.07,On Time,C2
AF1326,Air France,Charles de Gaulle,Xialu,China,12:08 PM,Arturo Merino Benítez International,Venlo,Netherlands,13,AF,0,TAX,8/11/2022,2:41 PM,5437.28,151,391.63,Delayed,C2
AM3262,Aeroméxico,Benito Juárez International,Pameungpeuk,Indonesia,12:49 AM,Dallas/Fort Worth International,Sidenreng,Indonesia,1,AM,HIM,MBP,12/11/2022,10:17 AM,2037.2,167,60.97,On Time,A1
NH7962,All Nippon Airways,Haneda,La Cruz,Mexico,6:04 PM,Hong Kong International,Šardice,Czech Republic,19,NH,ESD,QPG,9/30/2022,8:13 AM,3231.67,467,254.83,On Time,B1
SQ6000,Singapore Airlines,Changi,Margos,Philippines,11:15 AM,Beijing Capital International,Yamaranguila,Honduras,14,SQ,IKK,TGD,5/3/2022,12:48 PM,2699.76,499,214.9,On Time,A2
AM2018,Aeroméxico,Benito Juárez International,Lexington,United States,8:01 AM,O'Hare International,Gornje Živinice,Bosnia and Herzegovina,18,AM,NRY,CSV,6/8/2022,7:25 AM,1995.66,68,402.56,On Time,A1
AZ1863,Alitalia,Leonardo da Vinci International,Orlando,United States,5:51 PM,Frankfurt Airport,Gobō,Japan,15,AZ,BMK,ELE,3/8/2022,12:47 AM,4144.43,288,322.99,On Time,C4
SQ3494,Singapore Airlines,Changi,Dioknisi,Georgia,12:55 AM,Beijing Capital International,Andamui,Indonesia,12,SQ,RNN,MHQ,10/5/2022,11:04 PM,4824.17,351,300.72,Delayed,C1
AM5106,Aeroméxico,Benito Juárez International,Khirbat Tīn Nūr,Syria,4:55 PM,O'Hare International,Pilaya,Bolivia,7,AM,LWE,0,5/19/2022,12:58 AM,9958.74,69,103.34,Delayed,C2
AI6535,Air India,Indira Gandhi International,Slavyanovo,Bulgaria,5:57 AM,Chhatrapati Shivaji International,Cravinhos,Brazil,13,AI,YGB,BLU,2/11/2022,8:25 AM,1878.08,422,89.0,On Time,C2
DL9212,Delta Air Lines,John F. Kennedy International,Mabini,Philippines,2:01 AM,Hartsfield-Jackson Atlanta,Yucheng,China,21,DL,YNG,VBP,2/15/2022,1:49 PM,1920.48,126,100.64,On Time,A2
LH5458,Lufthansa,Frankfurt Airport,Nelahozeves,Czech Republic,5:00 PM,Charles de Gaulle,Guadalupe,Mexico,8,LH,KAQ,SMZ,8/9/2022,11:19 AM,7046.78,189,260.69,On Time,A1
IB7853,Iberia,Adolfo Suárez Madrid–Barajas,Buri,Brazil,12:50 PM,Charles de Gaulle,Huohua,China,3,IB,BAL,XLO,9/23/2022,3:05 AM,1958.84,444,360.27,On Time,C4
SQ4035,Singapore Airlines,Changi,Vukovar,Croatia,10:51 AM,Beijing Capital International,Manosque,France,6,SQ,TOZ,GID,10/11/2022,9:38 PM,3842.65,148,54.8,On Time,C1
SA5492,South African Airways,O.R. Tambo International,Narew,Poland,9:59 PM,Bole International,Haolin,China,23,SA,PGX,KNX,12/9/2022,8:26 PM,7962.9,128,397.95,On Time,B2
LA6794,LATAM Airlines,São Paulo/Guarulhos International,Nacka,Sweden,1:44 AM,Ministro Pistarini International,Omiš,Croatia,19,LA,BRD,GLZ,9/26/2022,10:21 PM,9355.91,367,128.09,On Time,C1
AV2250,Avianca,El Dorado International,Buqei‘a,Israel,8:49 AM,Hartsfield-Jackson Atlanta,Baiqi,China,18,AV,MKR,REY,10/5/2022,6:04 AM,9843.43,263,358.26,On Time,C1
ET6157,Ethiopian Airlines,Bole International,Charleston,United States,3:21 PM,Hamad International,Junshan,China,2,ET,MXS,LZN,7/18/2022,7:50 PM,1707.27,291,338.35,On Time,A2
AM3107,Aeroméxico,Benito Juárez International,Caparrapí,Colombia,1:55 PM,O'Hare International,Šumice,Czech Republic,21,AM,HBK,BYF,6/4/2022,6:30 PM,1404.55,336,345.17,On Time,B1
AA6702,American Airlines,John F. Kennedy International,Engure,Latvia,10:00 AM,Hartsfield-Jackson Atlanta,Carrasqueira,Portugal,21,AA,VKT,PHN,4/16/2022,9:02 AM,1034.51,350,266.21,On Time,C1
SK2136,SAS Scandinavian,Copenhagen Airport,Kolno,Poland,4:35 PM,Charles de Gaulle,Golacir,Indonesia,18,SK,IBZ,RSB,11/26/2022,12:46 PM,5150.38,73,426.71,On Time,C3
AI6039,Air India,Indira Gandhi International,Titiakar,Indonesia,1:19 PM,Kuala Lumpur International,Bang Rakam,Thailand,19,AI,YYT,BPG,3/3/2022,10:56 PM,2833.57,165,290.07,On Time,C1
QR1607,Qatar Airways,Hamad International,Qacha’s Nek,Lesotho,10:09 AM,Bole International,Tiko,Cameroon,17,QR,PPQ,ZTS,11/3/2022,8:34 PM,4500.5,316,440.33,On Time,C2
AZ3705,Alitalia,Leonardo da Vinci International,Bulan,Philippines,9:53 AM,Charles de Gaulle,Kitchener,Canada,12,AZ,NDN,FUE,10/9/2022,7:16 AM,7923.81,184,105.29,Delayed,C3
SK4886,SAS Scandinavian,Copenhagen Airport,Placer,Philippines,3:13 AM,Charles de Gaulle,Steinkjer,Norway,11,SK,NKM,YAQ,11/15/2022,5:20 PM,5292.31,435,52.66,Delayed,C4
LA1925,LATAM Airlines,São Paulo/Guarulhos International,Itabaianinha,Brazil,9:07 PM,Toronto Pearson,Athens,Greece,14,LA,TMH,MYJ,9/19/2022,12:00 PM,7419.46,208,141.86,On Time,C4
LH4742,Lufthansa,Frankfurt Airport,Xinxu,China,5:19 PM,Charles de Gaulle,Fenghuanglu,China,21,LH,LED,ITN,12/24/2022,7:02 PM,5262.65,199,187.29,On Time,A2
DL7030,Delta Air Lines,John F. Kennedy International,Stare Miasto,Poland,1:55 PM,Hartsfield-Jackson Atlanta,Fengyang,China,22,DL,GSM,OBN,6/19/2022,1:07 PM,2048.68,362,342.21,On Time,A1
BA7041,British Airways,Heathrow,Lokosovo,Russia,5:02 PM,Charles de Gaulle,Koror Town,Palau,1,BA,LCV,SZR,12/6/2022,11:22 AM,9378.55,494,293.34,On Time,C3
AZ3705,Alitalia,Leonardo da Vinci International,Brampton,Canada,9:17 PM,Charles de Gaulle,Balayong,Philippines,17,AZ,NCR,0,7/1/2022,3:40 PM,3092.63,221,260.17,Delayed,B2
LA2548,LATAM Airlines,São Paulo/Guarulhos International,Zabrat,Azerbaijan,8:01 AM,Ministro Pistarini International,Teruel,Spain,23,LA,UIL,BMQ,4/23/2022,12:14 AM,4890.29,318,157.67,Cancelled,B2
SA8722,South African Airways,O.R. Tambo International,Togitsu,Japan,3:04 PM,Charles de Gaulle,Jianli,China,12,SA,WHK,GUV,1/12/2022,8:05 PM,9963.96,462,299.7,On Time,C4
AF3446,Air France,Charles de Gaulle,Valinhos,Brazil,5:17 PM,Adolfo Suárez Madrid–Barajas,Guiwu,China,3,AF,GPA,RZS,1/14/2022,8:20 PM,1702.41,278,106.22,On Time,C4
WN9133,Southwest Airlines,Los Angeles International,Thị Trấn Than Uyên,Vietnam,6:09 PM,San Francisco International,Jun’an,China,23,WN,ABW,ENE,2/23/2022,5:05 PM,7515.45,350,156.26,On Time,B2
AZ9379,Alitalia,Leonardo da Vinci International,Pedro Juan Caballero,Paraguay,4:33 PM,Charles de Gaulle,Achoma,Peru,8,AZ,PSR,SZS,3/19/2022,4:29 AM,8051.15,290,298.22,On Time,C2
KE5573,Korean Air,Incheon International,Campinas,Brazil,10:35 AM,Haneda,Cañete,Chile,1,KE,RCT,JUV,7/9/2022,5:55 PM,7079.19,179,458.93,On Time,A2
KE1824,Korean Air,Incheon International,Douarnenez,France,1:57 PM,Beijing Capital International,Áno Kopanákion,Greece,18,KE,RJL,OPO,8/1/2022,7:37 AM,1121.11,387,93.28,Delayed,A3
AV4872,Avianca,El Dorado International,Gračec,Croatia,1:50 AM,O'Hare International,Haridimun,Indonesia,20,AV,KBV,DWO,1/2/2022,5:43 PM,8126.14,253,74.66,On Time,A2
AF1252,Air France,Charles de Gaulle,Spokoynaya,Russia,5:00 AM,Amsterdam Airport Schiphol,Tukhlya,Ukraine,22,AF,IGM,BGU,4/30/2022,4:35 PM,7659.03,439,347.24,Delayed,A3
AV7927,Avianca,El Dorado International,Palos,Tajikistan,9:55 AM,O'Hare International,Postupice,Czech Republic,16,AV,SIN,TLN,11/28/2022,9:29 AM,6520.51,394,131.83,Delayed,B2
TG9224,Thai Airways,Suvarnabhumi,Shambu,Ethiopia,7:09 PM,Changi,Silab,Philippines,2,TG,SDE,NEC,5/26/2022,1:32 AM,8280.19,154,359.88,On Time,A1
AC8774,Air Canada,Toronto Pearson,Jawor,Poland,4:29 AM,O'Hare International,Sendang,Indonesia,5,AC,TOA,PBO,7/4/2022,2:54 AM,162.57,284,257.2,On Time,A1
EK7739,Emirates,Dubai International,Al Majd,Palestinian Territory,2:59 AM,Hamad International,Banaran,Indonesia,11,EK,SDT,VRE,3/27/2022,9:03 AM,3987.79,193,203.04,Delayed,C2
BA9697,British Airways,Heathrow,Pinheiro Machado,Brazil,8:14 PM,Frankfurt Airport,Tracal,Indonesia,21,BA,LZU,WMK,10/11/2022,9:59 PM,2102.83,56,66.96,On Time,C4
AM4035,Aeroméxico,Benito Juárez International,Reconquista,Argentina,2:38 PM,O'Hare International,Oliveira de Frades,Portugal,7,AM,EUX,GUB,5/24/2022,8:05 AM,146.04,301,459.13,Cancelled,C3
TG5067,Thai Airways,Suvarnabhumi,Solna,Sweden,6:45 AM,Changi,Raniżów,Poland,12,TG,ISO,USK,2/17/2022,5:23 PM,5662.95,278,436.28,On Time,A1
KE4715,Korean Air,Incheon International,Dubá,Czech Republic,11:44 PM,Haneda,Tanxi,China,22,KE,CBD,HMO,7/2/2022,9:37 AM,385.06,226,311.93,Cancelled,A1
AC9760,Air Canada,Toronto Pearson,Gorodets,Russia,5:20 AM,John F. Kennedy International,Dumbéa,New Caledonia,6,AC,KAV,CBB,3/27/2022,8:54 AM,5722.05,198,150.04,On Time,C4
QF7218,Qantas,Sydney Airport,Pukkila,Finland,10:07 AM,Melbourne Airport,Moriki,Nigeria,21,QF,STQ,RBV,1/8/2022,1:54 AM,6527.59,258,170.64,On Time,A1
AA1385,American Airlines,John F. Kennedy International,Bendo,Indonesia,5:56 AM,Hartsfield-Jackson Atlanta,Sanpai,China,9,AA,TPQ,BUM,1/24/2022,5:18 PM,9688.92,82,199.61,On Time,A1
TG5265,Thai Airways,Suvarnabhumi,Coronel,Chile,7:07 PM,Changi,Suruhan,Indonesia,5,TG,UKX,VHV,10/3/2022,3:31 PM,1043.69,189,125.16,Cancelled,C4
TG1711,Thai Airways,Suvarnabhumi,Cavalões,Portugal,12:01 AM,Incheon International,Achada,Portugal,19,TG,VAI,RAC,2/1/2022,8:11 AM,2151.66,476,366.77,Delayed,B2
EK1649,Emirates,Dubai International,Jacareí,Brazil,11:47 PM,Hamad International,Dardhas,Albania,6,EK,COY,AVI,2/10/2022,7:19 PM,7768.34,206,421.65,Cancelled,B2
SK2193,SAS Scandinavian,Copenhagen Airport,Verkhnyaya Tura,Russia,12:23 AM,Charles de Gaulle,Daşoguz,Turkmenistan,11,SK,BOO,POO,9/19/2022,12:05 AM,6499.97,363,193.35,On Time,C1
AM2515,Aeroméxico,Benito Juárez International,Kalbugan,Philippines,9:13 AM,Adolfo Suárez Madrid–Barajas,Santo Adrião Vizela,Portugal,21,AM,DJO,HPB,1/11/2022,9:47 PM,788.62,244,424.51,Delayed,B1
BA6160,British Airways,Heathrow,Chengzhong,China,1:24 PM,Charles de Gaulle,Xinchong,China,3,BA,GET,NCT,7/11/2022,2:39 AM,4879.2,150,276.53,On Time,C1
AA3272,American Airlines,John F. Kennedy International,Stockholm,Sweden,7:28 PM,Hartsfield-Jackson Atlanta,Burgas,Bulgaria,23,AA,SBG,PHT,10/4/2022,9:25 AM,5795.11,129,278.99,Delayed,B1
AI1923,Air India,Indira Gandhi International,Ivot,Russia,8:57 PM,Chhatrapati Shivaji International,Cabean,Indonesia,9,AI,THY,MYZ,4/21/2022,6:40 PM,476.54,264,268.23,On Time,C2
NZ9063,Air New Zealand,Auckland Airport,Vincennes,France,4:37 PM,Sydney Airport,Brak,Indonesia,22,NZ,IGE,BGL,5/22/2022,7:14 PM,2573.24,93,75.57,On Time,C2
KL8773,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Hultsfred,Sweden,7:30 AM,Charles de Gaulle,Ciodeng,Indonesia,10,KL,LUM,SOA,10/7/2022,1:20 PM,5986.78,363,273.06,Delayed,B1
SK8474,SAS Scandinavian,Copenhagen Airport,Zhukovskiy,Russia,3:16 PM,Charles de Gaulle,Malya,Tanzania,13,SK,DBB,SCR,9/4/2022,3:16 PM,1296.83,488,330.54,Delayed,C4
QF2553,Qantas,Sydney Airport,Etinan,Nigeria,10:47 AM,El Dorado International,Lolayan,Indonesia,7,QF,OTS,SRO,9/23/2022,1:52 PM,5494.82,95,196.07,Cancelled,B1
SA9869,South African Airways,O.R. Tambo International,Kuantan,Malaysia,3:23 AM,Charles de Gaulle,Sulaco,Honduras,12,SA,PTT,KUA,12/28/2022,8:00 PM,646.96,113,69.63,On Time,C4
LH1888,Lufthansa,Frankfurt Airport,Jawa,Indonesia,6:34 PM,Charles de Gaulle,Lumbang,Philippines,16,LH,ZYL,SMM,2/16/2022,4:03 AM,5307.84,183,364.31,On Time,A1
LA6997,LATAM Airlines,São Paulo/Guarulhos International,Arbais,Indonesia,5:27 PM,Ministro Pistarini International,Wensu,China,23,LA,CRZ,GYN,8/8/2022,2:00 PM,1504.08,321,464.59,Delayed,C3
AV8487,Avianca,El Dorado International,Krojo,Indonesia,7:00 AM,O'Hare International,Mezinovskiy,Russia,3,AV,SHU,BMP,5/30/2022,9:58 AM,9711.42,189,448.19,Delayed,C1
AV3547,Avianca,El Dorado International,Pukkila,Finland,1:24 AM,Copenhagen Airport,Vegachí,Colombia,2,AV,AKO,AUZ,9/6/2022,11:18 AM,3782.48,467,382.47,Cancelled,C3
AZ7278,Alitalia,Leonardo da Vinci International,Kasingan,Indonesia,5:26 AM,Charles de Gaulle,Bariri,Brazil,19,AZ,PWM,GLT,6/23/2022,12:05 AM,1175.05,270,342.96,On Time,A2
AC3652,Air Canada,Toronto Pearson,Campos Gerais,Brazil,6:32 AM,Miami International,Baun,Indonesia,15,AC,UKG,CSQ,1/16/2022,6:04 PM,1789.14,412,123.61,Delayed,C4
LA3180,LATAM Airlines,São Paulo/Guarulhos International,Xue’an,China,7:26 PM,Kuala Lumpur International,Ilhabela,Brazil,5,LA,DAX,AAF,9/7/2022,7:55 PM,1315.25,385,370.22,On Time,B2
AM7841,Aeroméxico,Benito Juárez International,Ourense,Spain,9:00 AM,O'Hare International,Liaozhong,China,19,AM,ISB,MRS,2/14/2022,2:50 PM,8906.76,362,192.89,Delayed,C3
SK4657,SAS Scandinavian,Copenhagen Airport,Cipasung,Indonesia,12:35 PM,Charles de Gaulle,Detroit,United States,5,SK,SCV,ULX,3/9/2022,12:21 PM,4399.18,387,348.09,Cancelled,A1
AZ3133,Alitalia,Leonardo da Vinci International,Little Baguio,Philippines,4:21 AM,Charles de Gaulle,Castelo,Portugal,19,AZ,KBZ,PAS,7/19/2022,4:20 AM,649.49,393,462.02,On Time,A2
AC9050,Air Canada,Toronto Pearson,Suraż,Poland,1:03 AM,John F. Kennedy International,Coxim,Brazil,13,AC,KDR,YPC,9/27/2022,9:58 PM,7606.69,453,481.84,On Time,B1
